,SN20A,SN20B,SN21A,SN21B,SN22A,SN22B,SN23A,SN23B,SN24A,SN24B,SN25A,SN25B
OSTF1,294,309,558,217,646,751,364,609,373,399,352,330
LOC107986800,4,2,3,2,0,2,3,2,3,6,2,4
BCL2A1,2,0,0,2,0,6,0,4,2,4,0,0
NewGene_4621,4,4,13,30,33,30,33,30,10,41,21,17
IQSEC1,6452,5282,8570,4401,9804,11142,7583,8979,6174,6972,6468,5964
IQSEC2,785,655,1042,482,987,1245,1032,886,914,1076,1110,853
NewGene_972,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_971,0,0,0,0,1,0,0,1,0,0,0,0
NewGene_134,2,7,4,3,5,3,2,0,7,5,13,0
NewGene_977,19,17,11,11,4,9,4,12,8,7,23,22
NewGene_975,0,0,0,0,0,1,0,0,6,2,3,0
NewGene_974,19,9,21,11,25,27,15,18,12,19,15,22
ADIPOQ,0,0,2,0,4,4,3,0,0,0,0,0
ZMAT4,64,65,374,858,265,284,1176,166,435,377,258,305
ZMAT5,528,419,449,398,360,481,500,331,360,373,507,405
ZMAT2,2302,2216,2689,2493,2424,2704,2513,2431,2254,2115,3026,2566
ZMAT3,6767,6625,3451,2827,3993,3387,3476,3553,3660,3211,4182,3464
ZMAT1,515,580,550,1171,498,637,909,500,845,1029,783,799
COPE,3108,2686,2158,2328,2477,2608,2374,2172,2275,2202,2674,2602
PEBP4,9,5,9,0,0,2,12,7,15,4,17,5
COPA,13706,12940,9713,10343,10132,11197,10668,9993,9829,9798,10823,10116
STK38L,6969,8402,2742,3660,2739,2809,3023,3467,2695,4060,2258,2860
TMT1A,279,198,123,118,115,61,170,51,192,78,173,100
COP1,1570,1453,2031,1854,1831,2192,2020,1762,1672,1660,2232,2010
NewGene_6347,0,2,0,2,2,2,0,0,0,0,0,0
NewGene_6346,0,0,4,2,7,0,3,3,0,1,2,0
NewGene_6341,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_6340,2,0,4,6,8,3,12,2,0,8,2,8
NewGene_6343,8,45,107,36,88,86,74,77,37,121,38,98
NewGene_6342,29,0,38,24,139,73,70,92,72,14,48,9
CDK5R1,1825,1752,6255,6793,6284,6775,7650,5651,6212,6177,8613,7946
CDK5R2,657,648,3202,1285,3520,4394,2127,3532,1853,2188,1817,1840
NewGene_6349,0,0,2,0,0,0,0,0,0,5,0,0
USP42,976,870,1090,1340,1112,1208,1346,1036,1272,1163,1788,1398
USP43,327,287,173,172,155,157,117,148,153,170,217,183
USP40,1938,1578,790,1190,756,686,1091,637,1069,1098,1041,904
NewGene_3046,0,0,4,1,0,0,0,0,0,0,0,1
USP46,4908,4191,4325,2428,4908,4255,3335,3836,3460,3073,5377,4737
USP47,3841,3573,5768,5719,5511,5965,6092,5181,4614,4477,5259,5075
USP44,103,76,80,74,102,65,73,44,75,76,97,89
USP45,559,576,584,506,514,560,519,526,527,530,541,554
USP48,2794,2489,2901,2653,2570,2832,2924,2529,2425,2381,2968,2607
USP49,422,522,724,1464,752,794,1293,658,866,981,954,932
NewGene_3040,0,2,4,6,0,12,3,9,6,0,2,2
NewGene_3043,0,0,0,0,0,0,0,0,0,0,0,0
PDLIM1,12315,10583,4288,2658,3785,2665,5059,3194,6508,4670,6639,4598
PDLIM3,8494,6969,2079,975,3256,2370,2384,2052,3610,3382,2762,2591
PDLIM2,1047,894,487,531,401,381,421,298,473,460,469,407
PDLIM5,9710,9530,3851,7382,4244,2818,4537,3270,4387,3641,5885,5037
PDLIM4,2029,1992,1123,730,1329,1472,1026,1239,1054,1314,1119,1012
CYGB,410,296,691,327,889,1042,644,871,590,728,660,578
NewGene_10583,0,0,0,0,0,0,3,0,0,0,0,0
CLEC12A,0,0,0,0,2,0,0,2,0,0,0,0
CLEC12B,0,0,0,0,0,0,3,2,0,0,0,2
PUSL1,397,333,285,240,230,285,284,202,253,203,417,317
SIGMAR1,3053,2685,2300,2090,2131,2165,2166,1877,1929,1776,2636,2207
PCIF1,1077,1000,1607,1638,1346,1592,1811,1274,1394,1325,1873,1619
NewGene_9036,0,0,0,0,0,0,2,0,0,0,0,0
NewGene_9037,0,0,0,0,0,0,0,0,0,0,0,0
DAND5,7,11,5,11,5,0,13,4,2,10,0,0
OR11H4,0,0,2,0,0,0,0,0,0,0,0,0
NewGene_9031,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_9038,7,6,0,3,4,5,5,7,2,6,3,0
NewGene_9039,2,0,2,3,0,0,0,0,0,0,3,2
TESK2,416,389,217,105,253,101,113,118,171,107,1007,644
TESK1,1554,1330,2536,1464,2283,2670,2016,2208,1828,2028,2818,2172
CFAP20,1644,1434,1910,1873,1949,2148,1876,1855,1602,1642,1792,1841
TRPC4AP,5298,4715,5010,4167,4807,5043,4922,4443,4347,4270,5267,4482
ZNF385A,1694,1281,995,1798,1102,1010,1454,858,1124,983,1004,788
ZNF385B,12,17,84,35,82,70,57,61,71,76,69,73
ZNF385C,85,114,206,126,197,365,153,272,157,201,232,251
ZNF385D,202,136,1024,337,1185,1428,824,1113,516,578,511,433
BTNL2,1,0,1,1,0,2,2,0,1,3,1,4
RLIG1,341,396,457,582,457,435,552,382,428,458,618,503
BTNL3,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_4894,6,3,16,7,15,15,10,14,7,10,27,21
LOC124902135,0,0,0,2,0,0,0,0,0,0,0,0
CNR1,1786,2475,9681,6097,8641,9847,7528,10516,6193,8026,8376,10252
CNR2,2,0,2,0,0,0,0,0,0,4,2,0
NewGene_19447,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_19446,13,0,7,21,15,12,16,9,10,10,8,6
NewGene_19445,505,460,710,545,551,679,769,476,663,848,584,646
NewGene_9699,0,0,0,0,0,0,0,1,3,0,0,0
NewGene_19443,0,0,11,4,3,15,7,6,5,7,2,7
NewGene_19442,28,23,36,17,41,18,20,18,27,18,18,33
NewGene_19441,0,2,0,0,0,5,3,0,0,2,0,0
NewGene_9690,0,0,0,0,0,0,0,0,0,0,0,2
NewGene_9691,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_9696,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_9697,79,63,86,75,87,76,82,59,67,77,103,78
NewGene_19448,8,0,6,8,4,4,12,5,3,5,10,23
CDK11A,1115,963,1028,958,718,807,1082,620,884,1051,1470,982
CDK11B,1508,1461,1421,1626,1071,1306,1650,1195,1391,1362,1990,1482
RFLNB,961,1433,1221,358,1246,623,542,566,1144,840,1368,1152
NAT10,1421,1252,1314,1557,1102,1212,1383,1071,1200,1248,1667,1298
NewGene_8346,21,18,26,12,20,29,39,32,12,36,24,17
NewGene_8345,0,3,0,17,0,1,0,0,0,0,0,0
NewGene_8343,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_8342,2,0,0,0,0,0,0,0,0,0,0,0
NAT16,107,88,388,220,356,426,364,358,370,351,282,220
NewGene_8349,0,0,2,0,6,1,0,0,3,3,6,2
NewGene_8348,1103,1018,1135,1226,1167,1097,1429,838,1181,1226,1475,1166
H2AC1,0,0,0,0,0,0,0,0,0,0,0,0
H2AC4,0,0,0,2,0,2,1,2,0,0,0,0
H2AC6,263,207,171,138,188,120,195,91,244,134,419,211
H2AC7,4,2,2,4,1,0,6,0,2,4,4,2
H2AC8,27,17,10,18,14,15,15,9,19,19,27,13
NewGene_9961,0,0,3,0,7,18,7,9,5,9,0,0
NewGene_9963,4,6,3,0,0,2,0,4,0,0,0,2
NewGene_9964,0,0,0,0,0,0,0,0,3,1,0,0
NewGene_9965,30,20,71,16,57,49,30,48,42,42,25,19
NewGene_9966,0,8,6,7,0,2,5,7,0,0,23,9
NewGene_9967,0,0,0,0,0,0,1,0,0,0,0,0
MAP2K6,708,712,1478,1723,2452,2442,2050,1822,1882,1974,2652,2639
MAP2K7,911,866,937,970,968,969,931,800,1020,995,1285,1085
MAP2K4,3488,3193,5328,3118,5506,5617,4610,5093,4006,4128,5211,4298
MAP2K5,1249,941,941,784,1381,1567,1219,1048,1230,1100,1067,992
MAP2K2,6162,4591,4396,4067,4241,4346,4199,3842,3940,3507,5036,4336
MAP2K3,1131,918,647,515,563,574,631,635,645,680,559,494
MAP2K1,1893,1664,2678,1863,2491,2676,2660,2506,1932,1890,2232,1875
NewGene_8691,0,0,0,2,0,0,0,0,0,0,0,0
TBCEL-TECTA,235,197,264,247,322,280,319,260,282,355,229,235
CYTIP,0,6,3,4,0,8,4,0,2,7,5,10
OR56A3,0,0,2,0,0,0,0,0,0,0,0,0
DTYMK,401,398,333,597,272,232,390,237,329,301,455,344
CUL4B,3021,2961,3124,3411,3510,3380,3692,3207,3160,2964,4053,3889
OR56A4,0,0,0,0,0,1,0,0,0,0,0,0
CUL4A,3763,3545,3165,3034,2905,3152,3269,2904,2923,2739,3760,3270
NewGene_11618,17,11,35,20,51,79,35,42,31,44,5,19
NewGene_11612,0,0,22,2,8,16,20,10,10,4,4,0
NewGene_11616,0,0,0,0,0,0,0,0,0,0,0,1
NewGene_11617,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_11614,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_11615,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_16048,7,0,29,5,21,32,19,31,5,8,0,0
NewGene_16049,20,23,33,44,16,23,45,19,38,44,32,35
NewGene_16043,3,5,6,2,12,9,7,11,11,13,11,13
NewGene_16041,9,0,5,13,19,5,21,16,10,8,25,20
NewGene_16046,25,19,174,39,112,137,163,83,6,154,33,13
SRSF8,2485,2431,2561,2423,3320,3673,2781,2789,2611,2624,3260,3027
SRSF9,2761,2319,1775,2277,1800,1821,1878,1639,1856,1630,2210,1974
PRKAR1A,16131,15522,23744,15557,26001,26488,20469,24512,16665,15076,23205,20625
NewGene_9459,11,13,18,9,13,10,7,17,5,3,8,11
ADH6,4,0,7,7,3,3,2,4,0,4,5,9
ADH7,0,0,0,0,0,0,0,0,0,0,0,0
ADH4,1,0,0,0,0,0,0,0,3,4,1,0
ADH5,5063,4697,3741,5743,3645,3752,4383,3725,3727,3264,4766,4449
SRSF6,7611,7065,5520,8701,5362,5691,7639,4823,6132,5981,9542,7465
SRSF7,1976,1843,2437,3584,2236,2506,3152,2084,2284,2320,2972,2779
SRSF4,3042,2822,2879,3511,2519,2616,3104,2295,2792,2597,4049,3448
SCAPER,945,866,1839,1516,2113,2273,2270,2015,1884,1954,2540,2232
GET4,1219,1057,1197,1093,1026,1220,1159,941,980,1231,1328,1145
GET1,3524,3237,3834,3367,3740,3967,3636,3329,3169,3081,4096,3861
GET3,2719,2364,2212,1988,2000,2087,2125,1802,1998,1799,2744,2362
SPDYE12,81,92,148,82,105,137,167,158,137,121,142,101
SPDYE13,56,49,61,60,73,72,75,59,58,69,77,61
SPDYE10,13,10,13,5,16,14,16,19,15,17,15,13
SPDYE11,5,7,10,4,9,7,7,9,6,5,7,7
SPDYE16,4,0,5,6,5,3,8,3,4,6,3,9
SPDYE17,9,5,17,5,11,13,18,6,19,7,20,16
SPDYE14,29,28,38,82,44,50,110,92,33,94,34,38
SPDYE15,35,33,38,35,44,46,50,44,40,50,44,47
SPDYE18,29,12,18,15,21,28,34,22,15,40,48,32
NRSN2,2747,2202,3611,2409,3694,4303,3333,3548,3039,3104,3897,2908
NRSN1,172,153,905,478,803,868,755,649,438,634,286,465
OR1K1,0,0,0,0,0,0,0,2,0,0,0,0
NewGene_18479,7,0,6,14,0,0,4,0,8,9,5,8
NewGene_18478,8,4,9,6,0,11,8,8,8,10,5,10
NewGene_18470,2,5,0,0,0,0,2,2,0,0,0,2
NewGene_18473,1,0,0,0,0,0,0,2,0,0,0,0
NewGene_18472,0,0,0,2,0,0,0,0,0,0,2,2
NewGene_18474,13,5,0,0,2,0,0,0,0,0,3,3
NewGene_18477,0,6,8,0,8,17,6,6,9,8,9,1
TERF2IP,5400,5219,9811,8025,10585,11983,9723,9734,8721,9079,10856,9841
NewGene_17315,75,83,212,45,229,383,111,280,99,310,283,199
NewGene_17314,0,2,2,0,1,3,8,3,4,2,3,2
NewGene_17317,27,14,3,8,8,15,5,8,0,7,5,7
NewGene_17316,0,0,2,0,0,2,2,0,1,4,2,0
NewGene_17311,211,193,147,281,184,431,398,227,393,587,344,353
NewGene_17310,98,300,695,368,396,453,522,455,659,791,328,336
NewGene_17313,9,54,193,146,116,141,347,131,323,421,65,82
ELOF1,1638,1320,1059,1093,1054,1170,1037,1083,1083,1047,1376,1096
NewGene_17319,4,2,0,0,0,0,0,0,2,0,3,0
NewGene_17318,897,720,459,326,403,539,434,420,449,440,391,430
VN1R4,0,0,0,0,0,0,0,0,0,0,0,0
RPGRIP1L,1257,1278,1034,1120,1041,1136,1083,1015,995,1050,1240,1247
VN1R2,0,0,1,2,0,0,0,0,0,2,0,0
LOC124900512,66,41,77,72,86,106,101,73,71,104,56,58
TMEM191C,9,15,32,22,25,57,29,17,32,53,51,39
TMEM191B,22,28,31,34,55,56,36,46,43,78,53,60
LOC100653049,2,0,0,0,0,0,0,1,1,0,3,0
SDCBP2,77,57,98,91,73,117,115,91,102,93,121,78
PLCG1,5302,4773,6676,7840,4719,5549,8110,4608,6212,6275,7683,6140
PLCG2,392,324,291,170,210,173,326,142,328,187,432,302
NewGene_15407,4,2,0,0,0,0,0,0,0,0,2,0
VWA5B2,133,74,431,139,466,497,294,374,413,742,261,275
NewGene_11184,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_15403,0,4,6,10,9,12,8,8,3,5,12,6
NewGene_11183,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_781,25,17,75,121,79,77,89,74,27,47,38,42
NewGene_782,0,0,0,2,0,0,0,0,0,0,0,0
NewGene_783,0,0,0,0,12,5,3,7,0,0,0,0
NewGene_784,0,0,0,0,0,0,0,0,0,0,0,0
TM2D1,910,957,788,617,755,921,688,728,707,673,915,923
NewGene_786,0,0,4,4,0,0,0,2,0,0,0,0
NewGene_788,0,0,3,23,0,0,0,0,0,0,4,0
RAD23B,7377,6668,8305,7960,8522,8708,8436,8007,6536,6149,7710,7643
RAD23A,2303,2019,2237,1503,2105,2265,2272,1997,2062,1906,2934,2281
PLAAT1,184,140,109,104,120,99,111,88,136,96,144,175
PLAAT3,1371,1165,1404,563,1518,1707,1234,1329,1406,1242,2294,1991
PLAAT2,8,4,21,0,11,23,15,15,10,18,9,15
PLAAT5,20,24,53,61,57,48,85,66,63,52,80,58
PLAAT4,67,57,17,16,32,16,40,17,61,27,193,117
RTRAF,4778,4305,3900,4542,3784,3938,3868,3626,3672,3637,4263,3977
NXPH2,8,25,24,214,4,6,80,12,58,57,44,43
KRIT1,1101,1073,863,1113,707,767,1023,698,909,941,1336,1058
FANCD2OS,0,0,0,1,0,0,0,0,0,0,0,0
PMP2,0,0,101,92,9,230,119,75,22,0,0,8
NewGene_19752,0,0,0,0,0,0,2,0,0,0,0,0
NewGene_11163,48,34,53,83,44,77,70,56,53,59,59,60
DMRTC1B,112,48,89,60,97,108,47,110,100,91,274,119
CRELD2,1231,1265,927,2710,921,1212,1043,984,1125,1333,1243,1348
CRELD1,2139,1971,1956,2245,2486,3004,2112,2093,1959,2418,2043,1929
NewGene_13569,0,0,0,0,0,0,0,1,0,0,0,0
NUMA1,8061,7671,6172,6200,5294,5311,7521,4611,6398,6076,8840,7224
PIWIL3,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_13567,0,0,2,0,0,0,0,0,0,0,0,0
NewGene_13564,2,0,0,0,0,0,0,0,0,0,0,0
NewGene_13565,0,2,0,2,0,0,0,0,0,2,0,2
F13B,0,0,0,0,2,0,0,0,0,0,0,1
WNT2B,9071,11386,8897,3768,12171,5567,8278,5191,7850,4468,9958,9318
NewGene_15920,30,16,15,10,0,11,2,2,3,5,2,15
NewGene_15921,0,0,2,0,0,2,0,0,0,0,0,0
NewGene_15922,0,0,0,0,2,0,0,0,0,0,0,0
NewGene_15924,0,5,22,9,14,9,0,8,2,9,14,10
NewGene_15928,1,2,0,2,1,0,0,0,2,0,0,1
NewGene_15929,6,2,3,0,6,5,1,2,7,1,0,1
NewGene_7698,0,0,0,0,0,0,2,0,2,0,3,3
NewGene_10200,61,74,89,34,47,55,95,35,90,164,108,88
NewGene_10201,46,27,71,64,76,64,90,62,81,88,84,58
NewGene_10206,1,0,3,0,0,2,0,7,2,0,0,1
NewGene_10207,186,177,287,215,362,354,308,250,295,290,366,273
NewGene_10204,0,0,4,2,0,0,4,4,0,0,0,0
NewGene_10205,4,2,6,10,5,0,3,4,3,2,14,9
NewGene_7690,0,0,4,0,6,0,0,1,2,0,0,0
NewGene_7692,0,4,0,0,0,0,0,0,0,0,0,0
NewGene_10209,0,1,0,2,0,0,0,0,2,0,0,0
NewGene_7694,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_7695,290,237,290,368,296,297,376,228,272,361,329,317
NewGene_7697,125,115,101,85,53,59,103,69,80,94,85,99
NewGene_1228,5,0,0,2,0,2,0,0,2,2,0,0
PLEKHH1,707,575,906,593,860,1064,855,918,778,1089,778,772
PLEKHH2,257,159,254,237,161,131,258,165,260,289,223,183
PLEKHH3,768,518,806,697,714,725,892,583,768,747,983,755
NewGene_1223,4,0,16,19,6,12,15,0,0,14,11,2
NewGene_1221,2,0,7,0,9,0,2,7,2,0,0,0
NewGene_1220,0,0,4,1,0,0,0,2,0,2,0,0
NewGene_1227,41,43,56,82,26,33,59,33,69,70,52,40
NewGene_1226,4,1,6,7,0,2,4,7,4,2,0,0
NewGene_1225,0,2,0,3,0,0,0,0,2,0,0,0
NewGene_1224,0,0,0,1,0,0,1,0,1,0,0,4
ZIC3,879,1041,1655,5065,975,909,4012,851,2699,1562,3628,3283
CNOT10,382,431,424,419,148,262,318,183,420,431,334,99
NewGene_1591,23,17,12,14,20,31,27,20,17,28,14,13
NewGene_1593,0,0,0,0,0,3,0,0,0,3,0,0
NewGene_1592,10,4,15,15,9,11,6,9,9,5,10,5
DRP2,213,227,792,643,488,685,898,625,687,740,640,610
NewGene_1597,5,6,8,6,4,6,7,0,4,8,0,0
NewGene_1596,0,0,0,0,0,5,2,0,4,0,3,3
NewGene_1598,0,2,0,0,2,0,0,3,0,0,0,5
LOC124909461,97,63,94,42,65,68,83,49,59,54,105,87
MAPK9,3085,2814,7308,3180,6907,7541,5727,6568,4822,4917,5174,4480
MAPK8,2105,2031,5472,5406,6535,7239,6727,6345,4542,5450,4702,4716
MAPK4,597,420,1377,821,1653,1470,1479,1289,1525,1376,1925,1317
MAPK7,1076,1152,958,1136,791,871,1055,861,1046,1000,1131,971
MAPK6,6058,5731,8058,7558,8809,9833,8638,8245,6549,6208,9495,8262
MAPK1,8340,7713,7988,6464,7933,7869,8052,6840,7115,6485,9007,8356
MAPK3,2238,2012,2516,2045,2691,2972,2465,2338,2225,2170,2565,2055
LOC105379473,0,0,0,0,0,0,0,0,0,0,0,0
CREBZF,2820,2381,2735,3092,2373,2552,3308,2033,2635,3326,3262,2677
EPDR1,1230,1155,887,577,921,809,878,816,961,630,1269,1006
NewGene_11559,2,2,0,2,0,0,3,0,0,2,2,2
NewGene_11558,1283,1101,1014,1238,938,1025,1289,446,994,1167,1283,1060
ATAD2B,1016,833,918,1309,803,813,1232,668,1144,1034,1335,1132
NewGene_11555,20,24,25,38,28,23,29,15,25,33,55,17
NewGene_11554,4,3,2,0,0,2,2,0,1,5,2,0
NewGene_11557,0,0,0,0,0,0,0,3,0,0,0,0
NewGene_11556,0,0,0,0,0,4,0,0,0,0,0,0
NewGene_11551,165,203,87,52,68,35,57,60,102,87,162,178
CABYR,245,149,316,183,258,324,272,303,282,275,290,262
NewGene_11552,9,8,6,0,2,7,7,7,5,6,10,2
NewGene_15072,6,0,0,0,0,3,0,0,0,0,0,0
NewGene_15073,17,21,22,10,20,12,23,11,15,11,26,14
NewGene_15076,0,2,4,2,0,4,2,0,0,0,11,12
NewGene_15074,0,0,0,0,0,0,0,0,0,0,0,0
G6PC2,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_15078,0,0,0,0,0,0,0,2,0,0,0,0
NewGene_11085,0,5,5,2,5,12,7,13,12,3,1,2
NewGene_12771,0,2,0,0,0,0,0,0,0,0,0,0
PDCD1,0,0,1,0,1,2,0,1,0,2,0,0
CYB5D1,1689,1547,1074,813,961,948,1048,738,937,865,1464,1205
CYB5D2,1345,1068,1700,973,1448,1530,1360,1500,1292,1144,1514,1282
DLEC1,901,883,153,157,193,113,161,75,245,181,732,627
NewGene_14843,1459,1292,1556,1107,1488,1524,1541,1465,1319,1274,1547,1201
PLEC,6532,6754,7894,8502,6761,8312,11814,7377,8378,8867,6979,6322
SYTL2,561,462,425,188,269,239,399,295,453,413,465,478
SYTL3,351,225,188,108,174,143,158,144,167,117,266,219
SYTL1,345,271,103,63,114,111,81,85,71,135,102,97
APMAP,4667,4038,3720,2938,3726,4112,3527,3617,3245,3341,3751,3338
SYTL4,81,76,49,8,39,48,38,49,50,37,83,45
SYTL5,368,239,1205,143,1083,1214,564,1129,313,417,261,202
CWC25,456,462,456,345,261,332,345,299,506,482,512,457
FA2H,4,4,24,0,37,39,12,43,8,7,8,11
NewGene_12779,29,12,10,14,10,9,36,11,21,21,21,34
OCM2,0,1,0,0,0,0,0,0,0,0,0,0
CMBL,1272,1262,856,915,857,811,1054,719,905,702,987,927
APCS,0,0,0,0,0,0,0,0,0,0,0,0
PCMT1,3738,3470,6023,4242,6276,7137,5623,6099,4474,4423,4209,4334
NewGene_16529,4,0,1,0,1,0,0,0,0,2,2,2
NewGene_16528,5,4,0,2,6,3,4,3,4,7,7,7
NewGene_16525,44,25,12,12,15,12,20,8,33,31,17,31
CCHCR1,9,51,17,19,12,17,28,12,5,13,18,12
NewGene_16527,0,0,0,0,0,0,0,0,1,0,0,0
NewGene_16526,1,0,0,0,0,0,1,0,0,1,1,0
NewGene_16521,199,95,105,175,78,110,169,105,134,157,116,134
NewGene_16520,0,0,0,0,0,0,0,0,0,2,0,0
NewGene_16523,35,89,53,65,44,65,68,50,72,108,57,47
NBAS,2479,2265,2235,2153,2744,2840,2519,2359,2020,2023,2450,2326
MIDEAS,1516,1187,929,928,1106,1091,1145,790,1012,1117,1140,986
BRK1,4793,4527,3611,4054,3546,3722,3706,2990,3606,3502,4109,3915
LOC124902201,76,52,35,9,44,35,23,27,39,33,43,56
WFDC10B,0,2,0,0,0,0,0,0,2,0,0,0
LOC124902206,0,0,0,0,0,0,0,0,0,0,0,0
HECTD4,5633,4927,8437,6181,7959,8878,9075,7403,7532,7852,6944,6965
HECTD3,1673,1407,1408,1263,1274,1324,1541,1140,1360,1319,1683,1230
HECTD2,1392,1470,1937,1408,1923,2010,1802,1833,1866,1974,2981,2645
HECTD1,5514,5164,5640,4722,6016,6027,6119,5687,5545,5142,6739,6200
GDF10,290,289,781,259,1040,1416,586,978,582,619,563,602
GDF11,4310,3448,4309,4219,4353,3852,4483,3549,4026,3225,4832,3882
ZNF814,1016,947,995,957,982,1041,1251,951,1005,1113,1163,904
APC2,1638,1630,5441,7185,6156,6940,8107,5759,6011,6789,5092,4850
PGPEP1,3830,3118,1687,1560,1725,1827,2098,1668,2360,2326,1857,1737
NewGene_7336,0,3,8,6,7,12,5,6,13,22,15,7
NewGene_7335,7,4,16,4,7,31,15,13,5,16,12,14
NewGene_12312,8,0,13,8,12,23,13,8,13,13,10,10
NewGene_12313,15,8,19,6,12,9,10,0,15,11,15,12
NewGene_12310,60,55,82,103,85,111,99,71,64,107,103,74
NewGene_4678,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_12317,0,0,5,11,4,0,9,0,2,4,0,2
NewGene_12314,6,3,8,5,4,6,8,3,6,9,8,2
NewGene_4672,32,41,131,35,208,241,101,118,91,164,124,104
NewGene_4671,0,0,1,0,2,4,0,0,0,2,0,0
NewGene_12319,4,2,0,0,3,2,3,2,0,5,2,4
SUCLG2,1442,1290,495,541,411,288,572,385,745,504,1066,973
SUCLG1,2172,1680,2232,1935,2226,2352,2186,2105,1947,1842,2064,1976
NewGene_4674,32,14,35,19,21,21,12,24,21,41,76,81
NewGene_4808,2,0,0,0,0,4,2,4,0,0,0,4
BLACAT1,635,641,1161,1393,804,1094,1596,920,959,1468,797,654
ZXDC,1032,1053,1000,1403,990,1090,1389,1052,1054,1078,1498,1280
ZXDB,599,609,888,798,1014,1025,990,989,778,860,974,1071
ZXDA,8,5,11,10,11,1,2,13,15,5,14,10
COL18A1,34397,31552,17545,13676,11813,13069,14832,13484,17438,18461,17112,15276
MAN1B1,3461,3056,2497,1769,2171,2445,2328,2111,2247,2009,2775,2331
NewGene_19297,14,8,9,14,14,25,20,10,18,30,11,18
STIMATE-MUSTN1,0,0,0,0,0,0,0,15,26,0,0,6
NewGene_4805,2,5,5,0,4,0,4,0,2,0,0,0
WASF3,2558,2096,5397,3766,5224,5461,5239,4893,3537,3465,3817,3513
WASF2,3291,3252,1949,2074,1947,1635,2194,1692,2150,1764,2689,2393
WASF1,2530,2335,7147,7731,7312,7176,8751,6302,6177,5894,6804,5741
NewGene_4807,0,0,2,0,0,0,0,0,2,0,0,0
AIFM1,3687,2934,2775,2330,2561,2747,2647,2532,2491,2171,3325,2786
AIFM3,457,169,154,75,158,118,123,110,221,122,256,126
AIFM2,847,778,467,278,377,358,426,326,431,437,617,480
CANX,29094,32596,20661,38014,23960,29521,24433,25095,22611,21945,27108,28848
LOC112268330,3,3,4,12,3,4,15,3,2,3,4,3
SLAIN2,2500,2367,2532,2283,2333,2544,2513,2258,2105,2013,2650,2532
SLAIN1,621,558,992,3115,912,1019,1510,885,1168,1088,1542,1390
NewGene_13049,3,4,2,2,0,0,3,0,2,5,0,4
NewGene_13048,0,0,0,0,3,0,0,4,0,0,0,0
NewGene_13044,318,316,560,906,368,619,890,266,667,771,634,637
NewGene_13047,25,36,31,12,18,30,33,32,37,26,31,21
NewGene_13041,14,17,19,11,23,28,33,18,15,37,14,13
NewGene_13040,7,4,6,11,6,13,13,4,12,22,9,9
NewGene_13042,77,85,94,81,117,130,130,122,63,95,115,105
ZNF365,134,146,333,169,378,391,266,400,225,267,260,257
ZNF366,2,2,0,0,0,0,0,0,4,0,0,2
ZNF367,13,26,40,159,64,69,99,83,32,59,50,56
MAP1LC3B2,135,108,136,115,173,203,159,142,132,144,108,93
ZNF362,1347,1311,1748,1806,1655,1765,1737,1636,1784,1822,1977,1749
TSACC,6,7,2,7,6,8,8,10,4,14,6,15
NYNRIN,5405,4987,4686,3895,4428,4146,4390,3531,5006,4636,6612,5072
SAC3D1,288,245,213,230,244,265,240,220,221,270,254,202
RNF122,255,306,572,873,402,482,725,459,491,512,514,517
RNF123,2132,1719,1592,1224,1504,1571,1617,1349,1617,1651,2206,1679
RNF121,1371,1334,898,891,850,863,933,900,938,938,1039,867
PRKRA,1454,1429,2570,2809,2178,2654,2563,2191,1952,1970,2700,2362
NewGene_19290,7,4,10,19,11,5,11,10,12,3,6,7
RNF125,41,37,268,72,478,460,276,457,152,138,121,111
RNF128,352,472,177,72,257,309,156,304,137,272,90,144
NPIPB11,1285,1111,1216,824,1092,1146,1240,869,1044,1278,1355,1155
NewGene_5208,0,0,0,0,0,0,0,0,0,0,0,0
C14orf132,8181,6397,13200,13152,14564,14819,13735,12064,11581,11934,11728,10414
NewGene_5207,13,12,58,38,50,94,29,49,13,14,53,40
NewGene_5201,0,0,0,2,0,0,0,0,0,0,0,0
NewGene_5200,11,20,79,42,108,113,101,91,53,60,59,48
MUC3A,181,133,391,113,459,596,286,378,228,323,244,187
JCHAIN,0,0,0,0,3,0,0,0,0,0,0,2
SAPCD2,69,60,190,474,151,225,284,190,161,160,122,135
GPBP1,3574,3557,4452,5320,4220,4484,5245,3951,4170,3909,5333,4949
ACTL9,0,0,0,0,0,0,0,0,0,0,0,0
